Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Winchmore 2 Ews,42899,H31772,-43.78916,171.79029,164,H,Niwa
Winchmore Ews,4764,H31883,-43.79346,171.79512,160,H,Niwa/Agresearch
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),SoilM(%)
4764,20130525:0000,344,11.7,312,0.0,8.9,16.7,-0.9,-3.8,6.9,-,8.3,-,-,-,1006.4,-,-,7.61,28.4
4764,20130526:0000,308,16.1,351,0.0,11.8,18.6,6.0,0.3,6.4,-,8.9,-,-,-,992.0,-,-,7.50,27.8
4764,20130527:0000,206,15.4,227,1.9,4.8,8.7,0.3,-1.7,6.8,-,7.7,-,-,-,995.1,-,-,3.39,27.5
4764,20130528:0000,244,13.6,291,0.0,1.6,7.0,-3.6,-9.3,4.5,-,5.9,-,-,-,1007.6,-,-,6.93,27.3
4764,20130529:0000,228,7.6,184,0.0,4.8,13.3,-0.1,-3.6,5.4,-,6.1,-,-,-,1022.5,-,-,4.51,27.2
4764,20130530:0000,325,8.5,273,0.0,7.4,15.5,0.6,-2.6,6.1,-,6.5,-,-,-,1026.2,-,-,6.94,27.1
4764,20130531:0000,330,8.2,218,0.0,9.7,17.8,1.3,-4.3,7.7,-,7.3,-,-,-,1023.0,-,-,4.40,26.9
4764,20130601:0000,13,11.0,282,0.0,12.7,19.4,6.9,1.5,9.4,-,8.3,-,-,-,1013.5,-,-,2.36,26.8
4764,20130602:0000,332,12.2,369,0.0,16.0,22.1,10.7,5.7,8.5,-,9.9,-,-,-,999.2,-,-,5.27,26.6
4764,20130603:0000,52,8.6,188,18.3,6.7,14.0,2.9,4.3,9.1,-,9.2,-,-,-,1002.1,-,-,1.95,29.0
4764,20130604:0000,220,12.1,208,17.3,4.4,6.9,-0.4,-4.3,7.8,-,8.0,-,-,-,1005.4,-,-,1.14,33.1
4764,20130605:0000,335,4.2,117,0.0,3.4,11.0,-2.7,-7.4,6.3,-,6.3,-,-,-,1017.6,-,-,7.13,30.5
4764,20130606:0000,78,5.0,167,1.7,4.7,14.0,0.6,-4.2,7.4,-,7.4,-,-,-,1026.1,-,-,6.47,29.6
4764,20130607:0000,34,6.0,179,0.2,3.6,12.0,-2.8,-6.5,6.8,-,6.2,-,-,-,1024.3,-,-,6.82,29.1
4764,20130608:0000,351,16.8,341,0.0,8.7,15.6,-1.2,-4.8,7.4,-,6.6,-,-,-,1014.0,-,-,5.97,28.8
4764,20130609:0000,234,7.0,168,0.0,7.4,11.2,2.0,-3.1,9.3,-,7.7,-,-,-,1019.4,-,-,3.25,28.6
4764,20130610:0000,77,5.7,148,0.2,6.2,8.2,2.8,-0.3,9.3,-,8.3,-,-,-,1022.5,-,-,2.75,28.4
